证券代码	时间	红股(10送)	配股(10配)	配股价	红利(10送)
HK01398	20150629	0.0	0.0	0.0	2.554
HK01398	20160629	0.0	0.0	0.0	2.333
HK01918	20120522	0.0	0.0	0.0	0.785
HK01918	20130521	0.0	0.0	0.0	0.786
HK01918	20140521	0.0	0.0	0.0	1.910
HK01918	20150521	0.0	0.0	0.0	1.900
HK01918	20160523	0.0	0.0	0.0	1.940
HK01988	20100623	0.0	0.0	0.0	0.50
HK01988	20110601	0.0	0.0	0.0	1.00
HK01988	20120619	0.0	0.0	0.0	3.00
HK01988	20120829	0.0	0.0	0.0	1.50
HK01988	20130619	0.0	0.0	0.0	1.50
HK01988	20130902	0.0	0.0	0.0	1.58
HK01988	20140612	0.0	0.0	0.0	1.00
HK01988	20141229	0.0	0.0	0.0	0.75
HK01988	20150623	0.0	0.0	0.0	1.10
HK01988	20160205	0.0	0.0	0.0	0.75
HK01988	20160610	0.0	0.0	0.0	1.60
HK01988	20160912	0.0	0.0	0.0	1.15
HK02328	20050922	0.0	0.0	0.0	0.72
HK02328	20070904	0.0	0.0	0.0	0.91
HK02328	20110831	0.0	0.0	0.0	2.25
HK02328	20111205	0.0	1.0	4.4845	0.000
HK02328	20120903	0.0	0.0	0.0	2.10
HK02328	20130528	0.0	1.1	4.2839	0.000
HK02328	20130909	0.0	0.0	0.0	2.43
HK02328	20140702	0.0	0.0	0.0	2.21
HK02328	20141110	0.0	0.9	5.9060	0.000
HK02328	20150702	0.0	0.0	0.0	2.70
HK02328	20160629	0.0	0.0	0.0	3.04
HK02883	20030423	0.0	0.0	0.0	0.131
HK02883	20030918	0.0	0.0	0.0	0.123
HK02883	20040423	0.0	0.0	0.0	0.227
HK02883	20040924	0.0	0.0	0.0	0.229
HK02883	20050421	0.0	0.0	0.0	0.439
HK02883	20050922	0.0	0.0	0.0	0.139
HK02883	20060421	0.0	0.0	0.0	0.411
HK02883	20070503	0.0	0.0	0.0	0.600
HK02883	20080613	0.0	0.0	0.0	1.200
HK02883	20090615	0.0	0.0	0.0	1.400
HK02883	20100528	0.0	0.0	0.0	1.400
HK02883	20110603	0.0	0.0	0.0	1.800
HK02883	20120614	0.0	0.0	0.0	1.800
HK02883	20130606	0.0	0.0	0.0	3.100
HK02883	20140612	0.0	0.0	0.0	4.300
HK02883	20150612	0.0	0.0	0.0	4.800
HK02883	20160614	0.0	0.0	0.0	0.680
HK03899	20120522	0.0	0.0	0.0	0.60
HK03899	20130522	0.0	0.0	0.0	0.70
HK03899	20140523	0.0	0.0	0.0	1.20
HK03899	20150526	0.0	0.0	0.0	1.95
HK03899	20160525	0.0	0.0	0.0	1.00
HK00811	20080516	0.0	0.0	0.0	3.0
HK00811	20090514	0.0	0.0	0.0	2.0
HK00811	20100506	0.0	0.0	0.0	2.8
HK00811	20110420	0.0	0.0	0.0	3.0
HK00811	20120521	0.0	0.0	0.0	3.0
HK00811	20130513	0.0	0.0	0.0	3.0
HK00811	20140519	0.0	0.0	0.0	3.0
HK00811	20150518	0.0	0.0	0.0	3.0
HK00811	20161221	0.0	0.0	0.0	3.0
HK00902	20030424	0.0	0.0	0.0	3.4
HK00902	20040407	0.0	0.0	0.0	5.0
HK00902	20050407	0.0	0.0	0.0	2.5
