D_LatestNetvalue,,,
Code,Tdate,Netvalue,SumNetvalue
510210,2017-11-27,3.824,1.309
510220,2017-11-27,4.2448,1.1708
510230,2017-11-27,6.6395,1.8857
510260,2017-11-27,1.206,1.206
510270,2017-11-27,1.179,1.376
510280,2017-11-27,1.789,1.789
510290,2017-11-27,1.5748,1.5748
510880,2017-11-27,3.1272,2.3401
161614,2017-11-27,1.033,1.353
162510,2017-11-27,1.052,1.84
160127,2017-11-27,1.215,2.463
150049,2017-11-27,1.033,1.35
150050,2017-11-27,1.397,3.736
166011,2017-11-27,1.4008,2.6298
163209,2017-11-27,1.102,1.694
150073,2017-11-27,1.045,1.339
150075,2017-11-27,1.14,1.921
165806,2017-11-27,1.315,1.315
159918,2017-11-27,1.7726,1.7726
510410,2017-11-27,0.7847,0.7847
510420,2017-11-27,1.553,1.553
165705,2017-11-27,0.957,1.183
160617,2017-11-27,1.001,1.459
163111,2017-11-27,1.1495,1.9484
159919,2017-11-27,4.4351,1.6952
510300,2017-11-27,4.1099,1.6069
150083,2017-11-27,1.0453,1.3335
150084,2017-11-27,1.4141,1.4141
162714,2017-11-27,1.2297,1.3739
161505,2017-11-27,1.072,1.462
161019,2017-11-27,0.996,1.375
162107,2017-11-27,0.8497,0.8497
165517,2017-11-27,0.757,1.157
163821,2017-11-27,1.501,1.501
166802,2017-11-27,1.389,1.521
150076,2017-11-27,1.041,1.306
150077,2017-11-27,1.737,1.737
160128,2017-11-27,0.994,1.34
166105,2017-11-27,0.96,1.109
163819,2017-11-27,1.091,1.435
161117,2017-11-27,1.027,1.382
150104,2017-11-27,1.0453,1.3243
150105,2017-11-27,1.8117,1.8117
160417,2017-11-27,1.4285,1.5675
161715,2017-11-27,1.107,1.245
160217,2017-11-27,1.064,1.393
162511,2017-11-27,1.135,1.135
161820,2017-11-27,1.085,1.329
164810,2017-11-27,0.985,1.232
162907,2017-11-27,0.749,1.688
150094,2017-11-27,1.045,1.311
150095,2017-11-27,0.453,1.372
150092,2017-11-27,1.041,1.303
150093,2017-11-27,1.063,2.394
165707,2017-11-27,1.052,1.849
150108,2017-09-12,1.07,1.351
150109,2017-09-12,1.132,2.221
160809,2017-11-27,1.102,1.785
150090,2017-11-27,1.0453,1.3147
150091,2017-11-27,0.8763,2.0798
161910,2017-11-27,0.9608,1.6972
160620,2017-11-27,1.266,0.888
150100,2017-11-27,1.041,1.279
150101,2017-11-27,1.491,0.367
150106,2017-11-27,1.0129,1.3618
150107,2017-11-27,1.2203,2.2502
161118,2017-11-27,1.1166,1.5453
164702,2017-11-27,1.01,1.345
150112,2017-11-27,1.0203,1.2997
150113,2017-11-27,1.7968,1.7968
164811,2017-11-27,1.4085,1.5482
160916,2017-11-27,2.673,2.093
160621,2017-11-27,1.07,1.412
161119,2017-11-27,1.2358,1.2358
